ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ไสและซอยไม้,สวนหลวง,3401,พัฒนาการ,, 0.66 ,10100001325204, 7 ,กรุงเทพมหานคร,,724, 96.00 ,3-34(1)-13/20,20,สวนหลวง,โรงไสไม้คลองตัน,4211,โรงไสไม้คลองตัน,3,10250
ไส สอยไม้,สวนหลวง,3401,พัฒนาการ,, 13.70 ,10100103125536, 8 ,กรุงเทพมหานคร,,1156, 50.00 ,3-34(1)-31/53,53,สวนหลวง,โรงไสไม้พัฒนา,4212,โรงไสไม้พัฒนา,3,10250
ทำวงกบ ประตู หน้าต่าง ไม้คิ้ว ไม้บัว ฯลฯ,สวนหลวง,3402,พัฒนาการ,-, 0.50 ,10100009225471, 10 ,กรุงเทพมหานคร,,1019/24-25, 60.50 ,3-34(2)-92/47,47,สวนหลวง,มิตรการช่าง,4213,มิตรการช่าง,3,10250
ทำวงกบ ขอบประตู ขอบหน้าต่าง บานประตู บานหน้าต่าง,สวนหลวง,3402,อ่อนนุช,อ่อนนุช 39, 9.30 ,100001025392, 8 ,กรุงเทพมหานคร,,294, 278.00 ,ศ3-34(2)-10/39,39,สวนหลวง,บริษัท เอ.เอส.ที.สถาปัตย์ จำกัด,4214,บริษัท เอ.เอส.ที.สถาปัตย์ จำกัด,3,10250
ทำวงกบ ประตูหน้าต่างและเครื่องเรือนจากไม้,สวนหลวง,3402,,อ่อนนุช 13, 1.43 ,10100100225297, 20 ,กรุงเทพมหานคร,,1, 201.50 ,3-34(2)-2/29,29,สวนหลวง,ห้างหุ้นส่วนจำกัด พระโขนงช่างไม้,4215,ห้างหุ้นส่วนจำกัด พระโขนงช่างไม้,3,10250
ทำวงกบ ประตูหน้าต่างไม้,สวนหลวง,3402,สุขุมวิท,อ่อนนุช, 10.00 ,10100002325229, 20 ,กรุงเทพมหานคร,4,21/99, 52.25 ,3-34(2)-23/22,22,สวนหลวง,บริษัท เซาท์อีสท์เอเซียก่อสร้าง จำกัด,4216,บริษัท เซาท์อีสท์เอเซียก่อสร้าง จำกัด,3,10250
ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้ เหล็ก ผ้า หนัง,สวนหลวง,3700,สุขุมวิท,อ่อนนุช 17 แยก 16, 9.00 ,10100011825532, 70 ,กรุงเทพมหานคร,,497, 167.00 ,3-37-118/53,53,สวนหลวง,บริษัท พาลาซโซ จำกัด,4217,บริษัท พาลาซโซ จำกัด,3,10250
ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ เหล็ก ผ้า หนัง และใยหวาย ตบแต่งผนังภายในอาคารและภายนอกอาคารด้วยไม้ ไฟเบอร์ ปูน เรซิ่ง ประกอบกัยโลหะ เป็นรูปต่างๆ ,สวนหลวง,3700,สุขุมวิท 77,อ่อนนุช 17 แยก 16, 15.50 ,10100015925478, 110 ,กรุงเทพมหานคร,-,499, 200.00 ,3-37-159/47,47,สวนหลวง,บริษัท แพลนเทชั่น จำกัด,4218,บริษัท แพลนเทชั่น จำกัด,3,10250
"ทำเครื่องเรือน,เครื่องใช้ หรือเครื่องตกแต่งภายในและวงกบบานประตู-หน้าต่างจากไม้",สวนหลวง,3700,มอเตอร์เวย์,, 40.50 ,10100016525525, 22 ,กรุงเทพมหานคร,3,424, 182.89 ,3-37-165/52,52,สวนหลวง,บริษัท ยู่ฮุย อินทีเรีย จำกัด,4219,บริษัท ยู่ฮุย อินทีเรีย จำกัด,3,10250
ทำเครื่องเรือนจากไม้,สวนหลวง,3700,อ่อนนุช,อ่อนนุช 38, 0.75 ,10100101825202, 75 ,กรุงเทพมหานคร,8,16, 49.95 ,3-37-18/20,20,สวนหลวง,บริษัท ลีเฮ้าส์ซิ่ง อินทีเรียโปรดัคส์ จำกัด,4220,บริษัท ลีเฮ้าส์ซิ่ง อินทีเรียโปรดัคส์ จำกัด,3,10250
รับจ้างทำกล่องกระดาษลูกฟูกและกล่องกระดาษทุกชนิด,สวนหลวง,3900,สุขุมวิท 77(อ่อนนุช),อ่อนนุช 35, 33.00 ,10100400325409, 11 ,กรุงเทพมหานคร,,19, 52.09 ,3-39-3/40,40,สวนหลวง,บริษัท ที ดับบลิว อินเตอร์แพค แอนด์ พริ๊นท์ จำกัด,4221,บริษัท ที ดับบลิว อินเตอร์แพค แอนด์ พริ๊นท์ จำกัด,3,10250
ผลิตกล่องกระดาษลูกฟูก,สวนหลวง,3900,สุขุมวิท 77,อ่อนนุช 46, 20.00 ,10100101825475, 8 ,กรุงเทพมหานคร,-,309, 406.29 ,3-39-18/47,47,สวนหลวง,บริษัท ที แอนด์ ที แพ็คเก็จจิ้ง จำกัด,4222,บริษัท ที แอนด์ ที แพ็คเก็จจิ้ง จำกัด,3,10250
รับจ้างพิมพ์สิ่งพิมพ์ต่างๆ,สวนหลวง,4101,สุขุมวิท77,อ่อนนุช 46 , 12.00 ,10100001925391, 17 ,กรุงเทพมหานคร,,44-46, 157.04 ,3-41(1)-19/39,39,อ่อนนุช,บริษัท วชิรินทร์สาส์น พริ้นท์ติ้ง จำกัด,4223,บริษัท วชิรินทร์สาส์น พริ้นท์ติ้ง จำกัด,3,10250
พิมพ์สิ่งพิมพ์ การเย็บเล่ม และการทำแฟ้มเอกสารต่าง ๆ,สวนหลวง,4101,อ่อนนุช,อ่อนนุช 66 , 50.00 ,10100003025513, 40 ,กรุงเทพมหานคร,,"561,561/1", 221.00 ,3-41(1)-30/51,51,สวนหลวง,บริษัท เออร์เจนท์ แทค จำกัด,4224,บริษัท เออร์เจนท์ แทค จำกัด,3,10250
พิมพ์สิ่งพิมพ์ต่าง ๆ,สวนหลวง,4101,สุขุมวิท 77(อ่อนนุช),อ่อนนุช 35, 55.00 ,10100100525456, 20 ,กรุงเทพมหานคร,,21, 497.06 ,3-41(1)-5/45,45,สวนหลวง,บริษัท ทวีวัฒน์การพิมพ์ จำกัด,4225,บริษัท ทวีวัฒน์การพิมพ์ จำกัด,3,10250
พิมพ์สติกเกอร์,สวนหลวง,4101,สุขุมวิท 77 (อ่อนนุช),-, 77.00 ,10100102825359, 62 ,กรุงเทพมหานคร,,99, 509.00 ,3-41(1)-28/35,35,อ่อนนุช,บริษัท ดูอิท จำกัด,4226,บริษัท ดูอิท จำกัด,3,10250
รับจ้างพิมพ์สิ่งพิมพ์ต่าง ๆ,สวนหลวง,4101,สุขุมวิท 77,อ่อนนุช 36, 17.05 ,10100001625538, 4 ,กรุงเทพมหานคร,8,34, 75.40 ,3-41(1)-16/53,53,สวนหลวง,อ.การพิมพ์,4227,อ.การพิมพ์,3,10250
พิมพ์สิ่งพิมพ์ต่าง ๆ,สวนหลวง,4101,สุขุมวิท 77,อ่อนนุช 40, 37.25 ,10100100925326, 49 ,กรุงเทพมหานคร,,138, 146.64 ,3-41(1)-9/32,32,อ่อนนุช,บริษัท ฝาหมิน เพรส จำกัด,4228,บริษัท ฝาหมิน เพรส จำกัด,3,10250
พิมพ์สิ่งพิมพ์ต่าง ๆ,สวนหลวง,4101,พัฒนาการ,, 8.00 ,10100200725519, 15 ,กรุงเทพมหานคร,,2925, 403.86 ,3-41(1)-7/51,51,สวนหลวง,บริษัท สุพรีมพริ้นท์ จำกัด,4229,บริษัท สุพรีมพริ้นท์ จำกัด,3,10250
พิมพ์หนังสือพิมพ์ และพิมพ์สิ่งพิมพ์ต่าง ๆ,สวนหลวง,4101,พัฒนาการ,พัฒนาการ 20 แยก 4, 60.00 ,10100200625537, 15 ,กรุงเทพมหานคร,,36, 447.02 ,3-41(1)-6/53,53,สวนหลวง,"โรงพิมพ์หนังสือพิมพ์ ""พิมพ์ไทย""",4230,"โรงพิมพ์หนังสือพิมพ์ ""พิมพ์ไทย""",3,10250
"ทำผลิตภัณฑ์พลาสติก เช่น ขวดน้ำ ขวดยา ได้เดือนละ 500,000 ใบ",สวนหลวง,4501,-,จัดสรรเอื้อวัฒนสกุล, 11.50 ,10100001025341, 21 ,กรุงเทพมหานคร,,497, 437.50 ,3-45(1)-10/34,34,พัฒนาการ,บริษัท แจ๊คส์เพ้นทส์ (ไทยแลนด์) จำกัด,4231,บริษัท แจ๊คส์เพ้นทส์ (ไทยแลนด์) จำกัด,3,10250
ผลิตยารักษาโรคแผนปัจจุบัน และทำเครื่องสำอาง,สวนหลวง,4601,พัฒนาการ,, 108.00 ,10100100925185, 61 ,กรุงเทพมหานคร,,1009, 298.70 ,3-46(1)-9/18,18,สวนหลวง,บริษัท ชาญกิจเทรดดิ้ง จำกัด,4232,บริษัท ชาญกิจเทรดดิ้ง จำกัด,3,10250
ผลิตยารักษาโรคแผนปัจจุบัน,สวนหลวง,4601,สุขุมวิท,อ่อนนุช 17 แยก 15 , 10.00 ,10100200225122, 81 ,กรุงเทพมหานคร,,15, 290.80 ,3-46(1)-2/12,12,สวนหลวง,บริษัท ซีโนฟาร์ม (ไทย) จำกัด,4233,บริษัท ซีโนฟาร์ม (ไทย) จำกัด,3,10250
ผลิตยารักษาโรคแผนปัจจุบัน ยาเม็ด ยาแคปซูลและยาน้ำ,สวนหลวง,4601,,, 4.96 ,10100100425236, 35 ,กรุงเทพมหานคร,,222, 69.81 ,3-46(1)-4/23,23,สวนหลวง,บริษัท วี.เอส.ฟาร์ม่า (1971) จำกัด,4234,บริษัท วี.เอส.ฟาร์ม่า (1971) จำกัด,3,10250
ผลิตยาแผนโบราณ,สวนหลวง,4602,รามคำแหง,สมานมิตร(รามคำแหง 4), 3.70 ,10100000225256, 9 ,กรุงเทพมหานคร,,19/1, 53.25 ,3-46(2)-2/25,25,สวนหลวง,ห้างขายยาตราเสือมังกร,4235,ห้างขายยาตราเสือมังกร,3,10250
ผลิตยารักษาโรคแผนปัจจุบัน,สวนหลวง,4602,พัฒนาการ,พัฒนาการ 20 แยก 4, 109.50 ,10100100425202, 177 ,กรุงเทพมหานคร,,89," 1,481.80 ",3-46(2)-4/20,20,สวนหลวง,บริษัท แมคโครฟาร์ จำกัด,4236,บริษัท แมคโครฟาร์ จำกัด,3,10250
ผลิตยาแผนปัจจุบัน,สวนหลวง,4602,พัฒนาการ,, 14.00 ,10100200425300, 35 ,กรุงเทพมหานคร,,1315, 83.35 ,3-46(2)-4/30,30,สวนหลวง,บริษัท อาร์ พี ซี อินเตอร์เนชั่นแนล จำกัด,4237,บริษัท อาร์ พี ซี อินเตอร์เนชั่นแนล จำกัด,3,10250
ผลิตยาแผนปัจจุบัน เช่น ยาเม็ด และยาแคปซูล และผลิตสารผสมล่วงหน้า (พรีมิกซ์) เพื่อใช้ผสมในอาหารสัตว์,สวนหลวง,4602,รามคำแหง,สมานมิตร, 38.27 ,10100200425227, 10 ,กรุงเทพมหานคร,,40/1, 219.40 ,3-46(2)-4/22,22,สวนหลวง,บริษัท เอฟ.อี. ฟาร์ม่า จำกัด,4238,บริษัท เอฟ.อี. ฟาร์ม่า จำกัด,3,10250
ผลิตสินค้าพลาสติก เช่น คิ้วกระเบื้อง จมูกบันได ราวบันได เส้นเก็บเสียง,สวนหลวง,5301,พัฒนาการ,พัฒนาการ 38, 21.00 ,10100104825472, 10 ,กรุงเทพมหานคร,,480, 198.70 ,3-53(1)-48/47,47,สวนหลวง,ผลิตวัสดุก่อสร้าง เสริมสง่า,4239,ผลิตวัสดุก่อสร้าง เสริมสง่า,3,10250
ผลิตถุงพลาสติก ได้ประมาณปีละ 72 ตัน และขวดพลาสติก ได้ประมาณปีละ 24 ตัน,สวนหลวง,5304,ศรีนครินทร์,อนามัย, 2.70 ,10100102525256, 97 ,กรุงเทพมหานคร,,101, 422.10 ,3-53(4)-25/25,25,พัฒนาการ,บริษัท วรกิจออโต้ชริ้งค์แพค จำกัด,4240,บริษัท วรกิจออโต้ชริ้งค์แพค จำกัด,3,10250
ทำถุงพลาสติก และแผ่นพลาสติกสำหรับรองพื้นกันซึม คลุมหลังคา,สวนหลวง,5304,สุขุมวิท 71,, 25.00 ,10100201125222, 92 ,กรุงเทพมหานคร,,1092, 931.02 ,3-53(4)-11/22,22,สวนหลวง,บริษัท วัลย์ดี พาณิชย์อุตสาหกรรม จำกัด,4241,บริษัท วัลย์ดี พาณิชย์อุตสาหกรรม จำกัด,3,10250
"ทำภาชนะบรรจุด้วยพลาสติก เช่น ขวด และฝาจุกต่าง ๆ ประมาณปีละ 1,700 ตัน",สวนหลวง,5304,พัฒนาการ,อ่อนนุช 17, 90.00 ,10100101725261, 398 ,กรุงเทพมหานคร,,1092," 2,709.30 ",3-53(4)-17/26,26,สวนหลวง,บริษัท พลาสเท็คอุตสาหกรรม จำกัด,4242,บริษัท พลาสเท็คอุตสาหกรรม จำกัด,3,10250
ทำถุงพลาสติก ประมาณปีละ 8 ตัน,สวนหลวง,5304,สุขุมวิท,อ่อนนุช 39, 2.50 ,10100002825194, 9 ,กรุงเทพมหานคร,,683, 181.70 ,3-53(4)-28/19,19,สวนหลวง,โซวเฮงเส็ง,4243,โซวเฮงเส็ง,3,10250
ทำถุงพลาสติก ได้เดือนละ 8 ตัน,สวนหลวง,5304,ศรีนครินทร์,อนามัย, 2.00 ,10100001425301, 17 ,กรุงเทพมหานคร,2,417, 150.65 ,3-53(4)-14/30,30,สวนหลวง,ลีเทรดเตอร์พลาสติก,4244,ลีเทรดเตอร์พลาสติก,3,10250
ผลิตคอนกรีตผสมเสร็จ,สวนหลวง,5801,พระรามที่ 9,-, 1.00 ,10100002725493, 3 ,กรุงเทพมหานคร,-,3401/1, 387.14 ,3-58(1)-27/49,49,สวนหลวง,บริษัท นครหลวงคอนกรีต จำกัด,4245,บริษัท นครหลวงคอนกรีต จำกัด,3,10250
ผลิตคอนผสมเสร็จ,สวนหลวง,5801,สุขุมวิท(พัฒนาการ),-, 2.50 ,10100011425481, 5 ,กรุงเทพมหานคร,1,39/23, 78.94 ,3-58(1)-114/48,48,สวนหลวง,บริษัท ฟาสท์ คอนกรีต จำกัด,4246,บริษัท ฟาสท์ คอนกรีต จำกัด,3,10250
ซ่อมแซมเครื่องมือเครื่องใช้ที่ทำด้วยเหล็ก,สวนหลวง,6100,สุขุมวิท,สุขุมวิท 77, 2.00 ,10101400125401, 6 ,กรุงเทพมหานคร,,1578-1580, 70.00 ,3-61-1/40,40,สวนหลวง,ยูเนอร์ เอนจิเนียริ่ง,4247,ยูเนอร์ เอนจิเนียริ่ง,3,10250
ซ่อมและสร้างเครื่องจักรที่ใช้ในงานอุตสาหกรรม,สวนหลวง,6100,สุขุมวิท 77,อ่อนนุช 54, 3.50 ,10100500325341, 19 ,กรุงเทพมหานคร,,630, 286.50 ,3-61-3/34,34,สวนหลวง,บริษัท แอ็คมี่อินเตอร์เนชั่นแนล(ประเทศไทย) จำกัด,4248,บริษัท แอ็คมี่อินเตอร์เนชั่นแนล(ประเทศไทย) จำกัด,3,10250
ทำเครื่องอัดน้ำผลไม้,สวนหลวง,6100,,อ่อนนุช30, 0.50 ,10101200125320, 8 ,กรุงเทพมหานคร,8,672, 101.13 ,3-61-1/32,32,สวนหลวง,ไทยซาคาย่า,4249,ไทยซาคาย่า,3,10250
ทำโครงเก้าอี้ และอุปกรณ์รถไถนา,สวนหลวง,6200,อ่อนนุช,อ่อนนุช  33, 1.73 ,10100900325214, 8 ,กรุงเทพมหานคร,,111, 237.45 ,3-62-3/21,21,สวนหลวง,เป้าพงษ์ศักดิ์,4250,เป้าพงษ์ศักดิ์,3,10250
ทำตู้เหล็ก โต๊ะ และเก้าอี้เหล็ก,สวนหลวง,6200,อ่อนนุช,อ่อนนุช 32, 0.50 ,10100100825484, 8 ,กรุงเทพมหานคร,9,90/48, 76.09 ,3-62-8/48,48,สวนหลวง,ห้างหุ้นส่วนจำกัด ไทย-ญี่ปุ่น เมตัลอุตสาหกรรม,4251,ห้างหุ้นส่วนจำกัด ไทย-ญี่ปุ่น เมตัลอุตสาหกรรม,3,10250
"ทำประตูเหล็กม้วน ประมาณปีละ 1,500 ชุด",สวนหลวง,6302,พัฒนาการ,, 3.90 ,10100003625312, 4 ,กรุงเทพมหานคร,,"2913,2915,2917", 89.43 ,3-63(2)-36/31,31,สวนหลวง,บริษัท ราชาโรลลิ่ง ชัตเตอร์ จำกัด,4252,บริษัท ราชาโรลลิ่ง ชัตเตอร์ จำกัด,3,10250
เชื่อมโลหะและทำส่วนประกอบใช้ในการก่อสร้าง,สวนหลวง,6302,อ่อนนุช(สุขุมวิท77),อ่อนนุช46, 8.20 ,10100002825566, 60 ,กรุงเทพมหานคร,,3, 460.00 ,3-63(2)-28/56,56,สวนหลวง,บริษัท เซาท์อีสท์เอเชียก่อสร้าง จำกัด,4253,บริษัท เซาท์อีสท์เอเชียก่อสร้าง จำกัด,3,10250
ทำสลักเกลียว ครีบสปริง น๊อตสกรู แหวน หมุดย้ำ ได้เดือนละ 80 ตัน,สวนหลวง,6406,พัฒนาการ,อ่อนนุช 17 แยก 16, 6.50 ,10101400125294, 20 ,กรุงเทพมหานคร,13,494, 289.14 ,3-64(6)-1/29,29,สวนหลวง,บริษัท เอส.พี.เค.อุตสาหกรรมพาณิชยการ จำกัด,4254,บริษัท เอส.พี.เค.อุตสาหกรรมพาณิชยการ จำกัด,3,10250
ทำสลัก แป้นเกลียว,สวนหลวง,6406,สุขุมวิท 77,อ่อนนุช 36, 12.50 ,10100500125485, 10 ,กรุงเทพมหานคร,6,86/6, 107.00 ,3-64(6)-1/48,48,สวนหลวง,พรโลหะการ,4255,พรโลหะการ,3,10250
"ทำบู๊ช เพลา ปุลเล่ ได้ปีละ 12,060 ชิ้น",สวนหลวง,6406,สุขุมวิท,สุขุมวิท 77, 4.30 ,10100002125264, 16 ,กรุงเทพมหานคร,4,"1596,1598", 264.50 ,3-64(6)-21/26,26,สวนหลวง,โรงกลึงกิตติวัฒนา,4256,โรงกลึงกิตติวัฒนา,3,10250
"ทำกุญแจขนาดต่าง ๆ ประมาณปีละ 144,000 ลูก",สวนหลวง,6409,,อ่อนนุช 40, 0.75 ,10100003525322, 16 ,กรุงเทพมหานคร,,136, 287.47 ,3-64(9)-35/32,32,สวนหลวง,บริษัท เต็กเซ้งและบุตร (1989) จำกัด,4257,บริษัท เต็กเซ้งและบุตร (1989) จำกัด,3,10250
ทำของใช้เล็ก ๆ จากโลหะ เช่น น๊อต สกรู,สวนหลวง,6409,,อ่อนนุช, 0.08 ,10100012225286, 12 ,กรุงเทพมหานคร,,9, 74.83 ,3-64(9)-122/28,28,สวนหลวง,นายเฉลิม สายทอง,4258,,3,10250
ตัดเหล็กแผ่น ทำท่อเหล็ก ตัดแผ่นแสตนเลสและทำท่อแสตนเลส,สวนหลวง,6412,อ่อนนุช,, 5.00 ,10100900325313, 3 ,กรุงเทพมหานคร,,601/1, 109.52 ,3-64(12)-3/31,31,สวนหลวง,บริษัท เอี่ยมโลหะ จำกัด,4259,บริษัท เอี่ยมโลหะ จำกัด,3,10250
รับจ้างกลึง คว้าน กัด ไส เจียรนัย เชื่อมโลหะ และซ่อมชุดกระบอกไฮโดรลิค,สวนหลวง,6413,สุขุมวิท 77 (อ่อนนุช),อ่อนนุช 32, 6.72 ,10100001725411, 36 ,กรุงเทพมหานคร,,48, 309.05 ,3-64(13)-17/41,41,อ่อนนุช,ห้างหุ้นส่วนจำกัด เค.เอฟ.พี.ไฮโดรลิค เวอร์ค,4260,ห้างหุ้นส่วนจำกัด เค.เอฟ.พี.ไฮโดรลิค เวอร์ค,3,10250
"กลึง เชื่อมโลหะ ประมาณปีละ 6,000 ชิ้น",สวนหลวง,6413,,อ่อนนุช 39, 1.30 ,10100400525347, 10 ,กรุงเทพมหานคร,,"309,311", 219.00 ,3-64(13)-5/34,34,สวนหลวง,หว่องโลหะการ,4261,หว่องโลหะการ,3,10250
"ทำชิ้นส่วนเตาแก๊ส ประมาณปีละ 20,000 ชิ้น และทำชิ้นส่วนรถยนต์ ประมาณปีละ 20,000 ชิ้น",สวนหลวง,6414,อ่อนนุช,อ่อนนุช 66, 6.00 ,10101100125347, 65 ,กรุงเทพมหานคร,,555, 273.87 ,3-64(14)-1/34,34,สวนหลวง,บริษัท เหรียญทองพาร์ทเซ็นเตอร์ จำกัด,4262,บริษัท เหรียญทองพาร์ทเซ็นเตอร์ จำกัด,3,10250
ทำเครื่องตัดกุญแจ ประมาณปีละ 30-50 เครื่อง เครื่องแกะสลัก ประมาณปีละ 1-5 เครื่อง และเครื่องทำกุญแจ ประมาณปีละ 1-5 เครื่อง,สวนหลวง,6702,สุขุมวิท 77,อ่อนนุช 40, 5.50 ,10101600225340, 6 ,กรุงเทพมหานคร,,156, 124.22 ,3-67(2)-2/34,34,สวนหลวง,บริษัท เค.ไอ.ที.เทรดดิ้ง จำกัด,4263,บริษัท เค.ไอ.ที.เทรดดิ้ง จำกัด,3,10250
ประกอบเครื่องปรับอากาศ,สวนหลวง,7000,สุขุมวิท,รามคำแหง  4, 3.40 ,10100002125199, 15 ,กรุงเทพมหานคร,,82, 157.50 ,3-70-21/19,19,สวนหลวง,บริษัท สิริพงศ์อุตสาหกรรมเครื่องเย็น จำกัด,4264,บริษัท สิริพงศ์อุตสาหกรรมเครื่องเย็น จำกัด,3,10250
ทำแผงสวิตช์ไฟฟ้า,สวนหลวง,7100,สุขุมวิท 77,อ่อนนุช 40, 12.50 ,10100300725377, 18 ,กรุงเทพมหานคร,,86, 283.10 ,3-71-7/37,37,สวนหลวง,บริษัท นำทวีรุ่งวิศวกิจ จำกัด,4265,บริษัท นำทวีรุ่งวิศวกิจ จำกัด,3,10250
ผลิตและซ่อมแซมหม้อแปลงไฟฟ้า และบัลลาส,สวนหลวง,7100,อ่อนนุช,, 1.12 ,10100600625293, 42 ,กรุงเทพมหานคร,,"1519,1521", 216.02 ,3-71-6/29,29,อ่อนนุช,นายนพพร วังวิทยาสกุล ,4266,-,3,10250
ประกอบเครื่องใช้ไฟฟ้า เช่น พดลม ทำกล่องกระดาษและพิมพ์สิ่งพิมพ์ต่างๆ,สวนหลวง,7300,สุขุมวิท 77,อ่อนนุช 39, 6.50 ,10100500325531, 65 ,กรุงเทพมหานคร,,919, 120.26 ,3-73-3/53,53,สวนหลวง,บริษัท วีรณาเพรส จำกัด,4267,บริษัท วีรณาเพรส จำกัด,3,10250
"ทำหม้อกรองน้ำมันเครื่อง และไส้กรองอากาศสำหรับรถยนต์ ประมาณปีละ 690,300 อัน",สวนหลวง,7702,สุขุมวิท 77,อ่อนนุช 37, 13.70 ,10100300625171, 61 ,กรุงเทพมหานคร,,7, 522.76 ,3-77(2)-6/17,17,สวนหลวง,นายณัฐกิตติ์ ธีรโรจน์นฤพล,4268,-,3,10250
ประกอบชิ้นส่วนเบรคจักรยานสองล้อ,สวนหลวง,7802,อ่อนนุช,, 4.85 ,10100300125586, 20 ,กรุงเทพมหานคร,,1563, 128.61 ,3-78(2)-1/58,58,สวนหลวง,ห้างหุ้นส่วนจำกัด เค เอ็ช ซี เทรดดิ้ง,4269,ห้างหุ้นส่วนจำกัด เค เอ็ช ซี เทรดดิ้ง,3,10250
ทำเบาะจักรยานยนต์,สวนหลวง,7802,พระรามที่ 9,พระราม957/1(วิเศษสุข2), -   ,10100500425224, 68 ,กรุงเทพมหานคร,,5, 268.70 ,3-78(2)-4/22,22,พัฒนาการ,บริษัท ยู พี เอส อุตสาหกรรม จำกัด,4270,บริษัท ยู พี เอส อุตสาหกรรม จำกัด,3,10250
ผลิตเตียงและรถเข็นสำหรับผู้ป่วย ประมาณปีละ 600 เตียง และ 180 คัน,สวนหลวง,8103,,อ่อนนุช 40, 1.00 ,10100100525258, 20 ,กรุงเทพมหานคร,,120, 228.65 ,3-81(3)-5/25,25,สวนหลวง,ห้างหุ้นส่วนจำกัด รุ่งกิจครุภัณฑ์,4271,ห้างหุ้นส่วนจำกัด รุ่งกิจครุภัณฑ์,3,10250
ทำอุปกรณ์ทางการแพทย์ด้วยพลาสติก เช่น ชุดให้น้ำเกลือ ให้เลือดและยา กล่องยา,สวนหลวง,8103,สุขุมวิท 77 (อ่อนนุช),อ่อนนุช 1, 2.45 ,10101600125250, 11 ,กรุงเทพมหานคร,,657, 439.40 ,3-81(3)-1/25,25,สวนหลวง,บริษัท พี.อาร์.พลาสติค เมดิคอลโพรดักส์ จำกัด,4272,บริษัท พี.อาร์.พลาสติค เมดิคอลโพรดักส์ จำกัด,3,10250
ผลิตชุดอุปกรณ์ทางการแพทย์ เช่น ชุดให้เลือด ชุดให้น้ำเกลือ ถุงรับปัสสาวะ และชุดถ่ายเลือด,สวนหลวง,8103,อ่อนนุช,, 43.00 ,10101000125231, 310 ,กรุงเทพมหานคร,,665, 555.96 ,3-81(3)-1/23,23,อ่อนนุช,บริษัท เอ็ม.อี. เมดิเทค จำกัด,4273,บริษัท เอ็ม.อี. เมดิเทค จำกัด,3,10250
ผลิตเครื่องประดับอัญมณี เช่น แหวน กำไล สร้อยคอ,สวนหลวง,8401,พัฒนาการ,รื่นรมย์, 16.43 ,10102000125379, 100 ,กรุงเทพมหานคร,,9, 82.62 ,3-84(1)-1/37,37,สวนหลวง,บริษัท อโดมา จำกัด,4274,บริษัท อโดมา จำกัด,3,10250
ทำเครื่องประดับด้วยเพชร พลอย ทอง เงิน นาก หรืออัญมณี,สวนหลวง,8401,พัฒนาการ,พัฒนาการ 58, 12.20 ,10100400825572, 161 ,กรุงเทพมหานคร,,19, 69.22 ,3-84(1)-8/57,57,สวนหลวง,บริษัท จิวเวลรี่ พลาเนท จำกัด,4275,บริษัท จิวเวลรี่ พลาเนท จำกัด,3,10250
"ทำเครื่องประดับจากทอง นาค เงิน เพชร พลอย ได้ประมาณเดือนละ 53,953 ชิ้น",สวนหลวง,8401,พัฒนาการ,, 2.00 ,10102000225344, 235 ,กรุงเทพมหานคร,,"2725,2727,2729,2731,2733,2735", 278.52 ,3-84(1)-2/34,34,สวนหลวง,บริษัท เซเว่น สตาร์ อินดัสทรี่ส์ จำกัด,4276,บริษัท เซเว่น สตาร์ อินดัสทรี่ส์ จำกัด,3,10250
"ทำเครื่องประดับจากเงิน อัญมณีเปลือกหอย เช่น แหวน ต่างหู ได้ปีละ 18,000,000 ชิ้น",สวนหลวง,8401,สุขุมวิท,อ่อนนุช 17   แยก 16, 5.45 ,10100103525321, 60 ,กรุงเทพมหานคร,13,543, 100.24 ,3-84(1)-35/32,32,สวนหลวง,บริษัท ธีระลักษณ์ จำกัด,4277,บริษัท ธีระลักษณ์ จำกัด,3,10250
ทำโต๊ะปิงปอง และจักรยานออกกำลังกาย,สวนหลวง,8600,พัฒนาการ,พัฒนาการ 38, 17.20 ,10100400225575, 6 ,กรุงเทพมหานคร,,203, 143.25 ,3-86-2/57,57,สวนหลวง,บริษัท วินเนอร์สปอร์ต จำกัด,4278,บริษัท วินเนอร์สปอร์ต จำกัด,3,10250
ทำดอกไม้ประดิษฐ์ ทำกล่องและพิมพ์กล่องกระดาษ,สวนหลวง,8704,สุขุมวิท  77,อ่อนนุช 39, 26.50 ,10100300225535, 78 ,กรุงเทพมหานคร,,669, 10.70 ,3-87(4)-2/53,53,สวนหลวง,บริษัท โอเรียนตัล ฟายน์ อาร์ท จำกัด,4279,บริษัท โอเรียนตัล ฟายน์ อาร์ท จำกัด,3,10250
ศูนย์บริการซ่อมรถยนต์,สวนหลวง,9501,พัฒนาการ,, 3.00 ,10100019725593, 8 ,กรุงเทพมหานคร,,1645, 64.34 ,3-95(1)-197/59,59,สวนหลวง,บริษัท วี กรุ๊ป จีแอล จำกัด ,4280,บริษัท วี กรุ๊ป จีแอล จำกัด ,3,10250
