ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำขนมอบแห้ง เช่น ทองม้วน,สามพราน,1002,การทำขนมปังกรอบ หรือขนมอบแห้ง,,,20700000000000,66,20,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,1,61/3,107,2561,ทรงคนอง,จ3-10(2)-4/61นฐ,บริษัท เจนจรัส ฟู้ด แอนด์ คอนแฟคชั่นเนอรี่ จำกัด,10899,บริษัท เจนจรัส ฟู้ด แอนด์ คอนแฟคชั่นเนอรี่ จำกัด,3,73210
ผลิตลวดตาข่ายและลวดหนาม,เมืองร้อยเอ็ด,6405,การทำผลิตภัณฑ์จากลวดหรือสายเคเบิล โดยใช้ลวดที่ได้มาจากแหล่งผลิตอื่น ซึ่งมิใช่ลวด,,,20500000000000,7.3,15,2,อุตสาหกรรมโลจิสติกส์,ร้อยเอ็ด,8,โฉนดที่ดินเลขที่ 50760,87,2555,นาโพธิ์,จ3-64(5)-2/55รอ,บริษัท ลวดตาข่ายสายันต์ จำกัด,10900,บริษัท ลวดตาข่ายสายันต์ จำกัด,3,45000
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต ๘๐ ตัน/วัน,เกษตรวิสัย,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ปัทมานนท์,,20500000000000,24,10,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,3,399,1011,2558,เกษตรวิสัย,จ3-14-12/58รอ,บริษัท ธาราทิพย์ เมืองเกษ จำกัด,10901,บริษัท ธาราทิพย์ เมืองเกษ จำกัด,3,45150
ฆ่าสัตว์ปีก,เมืองร้อยเอ็ด,401,การฆ่าสัตว์,,,20500000000000,24.54,162,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,6,195,528.45,2549,หนองแวง,จ3-4(1)-13/49รอ,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) ,10902,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) ,3,45000
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 40 เกวียน/วัน,ธวัชบุรี,901,การสี ฝัด หรือขัดข้าว,,,20500000000000,43,30,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,4,94,369,2561,หนองพอก,จ3-9(1)-19/61รอ,บริษัท กฤษณกรณ์ออร์กานิคฟาร์ม จำกัด,10903,บริษัท กฤษณกรณ์ออร์กานิคฟาร์ม จำกัด,3,45170
"อบข้าวเปลือก กำลังสูงสุดของโรงอบข้าวเปลือก 500 ตัน/วัน (ส่วนขยาย) เดิมกำลังสูงสุดของโรงอบข้าวเปลือก 500 ตัน/วัน รวมกำลังสูงสุดของโรงอบข้าวเปลือก 1,000 วัน/ตัน",เกษตรวิสัย,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,20500000000000,224,16,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,11,215,597.5,2557,ดงครั่งใหญ่,จ3-2(1)-33/57รอ,สหกรณ์การเกษตรเกษตรวิสัย จำกัด,10904,สหกรณ์การเกษตรเกษตรวิสัย จำกัด สาขานกเหาะ,3,45150
ประกอบรถปั้นจั่นตอกเสาเข็ม,บางปลาม้า,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,-,-,20700000000000,3.45,19,4,อุตสาหกรรมอิเล็กทรอนิกส์,สุพรรณบุรี,11,204,112,2551,โคกคราม,จ3-70-20/51สพ,บริษัท ตรีปั้นจั่น โมบาย จำกัด,10905,บริษัท ตรีปั้นจั่น โมบาย จำกัด,3,72150
สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน)ปรับปรุงคุณภาพข้าวสารบรรจุถุง 200 เกวียนต่อวัน อบข้าว 800 เกวียนต่อวัน,เดิมบางนางบวช,901,การสี ฝัด หรือขัดข้าว,สุพรรณบุรี-ชัยนาท,-,20700000000000,835.336592,41,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,11,222,2999,2547,เดิมบาง,จ3-9(1)-44/47สพ,บริษัท ข้าว ซี.พี. จำกัด,10906,บริษัท ข้าว ซี.พี. จำกัด,3,72120
ผลิตน้ำแข็งก้อนเล็ก,หนองหญ้าไซ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,20700000000000,20.3,9,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,11,289/1,496.72,2559,หนองหญ้าไซ,จ3-14-51/59สพ,นายทรงยศ แซ่เตียว,10907,ห้างหุ้นส่วนจำกัด มงคลเจริญศรี(1990),3,72240
ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,เมืองสุพรรณบุรี,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,20700000000000,18,20,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,332,974.08,2549,ดอนกำยาน,จ3-14-54/49สพ,ห้างหุ้นส่วนจำกัด ธนาจักรธารา,10908,ห้างหุ้นส่วนจำกัด ธนาจักรธารา,3,72000
ผลิตน้ำแข็งก้อนเล็ก ขนาด 100 ตัน/วัน,สุวรรณภูมิ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,,20500000000000,21.3,5,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,1,239,429,2565,ดอกไม้,จ3-14-8/65รอ,ห้างหุ้นส่วนจำกัด กเจริญวอเตอร์ไอซ์,10909,ห้างหุ้นส่วนจำกัด ก.เจริญวอเตอร์ไอซ์,3,45130
สีข้าว,เสลภูมิ,901,การสี ฝัด หรือขัดข้าว,,,20500000000000,23,2,5,อุตสาหกรรมแปรรูปอาหาร,ร้อยเอ็ด,5,"โฉนดที่ดินเลขที่ 37144,นส.3ก เลขที่ 2102",258.5,2566,นาเมือง,จ3-9(1)-5/66รอ,นางสาวศตพร เพียรวัทนกิจ,10910,โรงสีวัฒนกิจ,3,45120
บดข้าวโพด,เมืองนครปฐม,903,การป่นหรือบดเมล็ดพืชหรือหัวพืช,ถวิลเนรมิต,,20700000000000,5.8,15,5,อุตสาหกรรมแปรรูปอาหาร,นครปฐม,4,42/2,131,2562,ทุ่งน้อย,จ3-9(3)-3/62นฐ,บริษัท ส.เกษตรภัณฑ์ ฟีด จำกัด,10911,บริษัท ส.เกษตรภัณฑ์ ฟีด จำกัด,3,73000
